ID,FacilityName,StreetAddress,City,PostalCode,Type,Phone
0,Yolo Employment Services,660 6th St ,Woodland,95695,CRV,(530) 662-8618
0,ASCO Metals,13014 Los Nietos Rd ,Santa Fe Springs,90670,CRV,(562) 944-6306
0,Gardena Recycling Center Inc,1538 W 134th St ,Gardena,90249,CRV,(310) 516-8195
0,Augustine Metals Inc,2021 W Placentia Ln ,Colton,92324,CRV,(951) 682-8102
0,The Buy Back,669 Gilman St ,Berkeley,94710,CRV,(510) 524-0113
0,Boomerang Recycling Center,187 W Olive Ave ,Porterville,93257,CRV,(559) 781-7124
0,Main Street Fibers Inc,608 E Main St ,Ontario,91761,CRV,(909) 986-6310
0,Allan Co,2607 E Woodward St ,Fresno,93721,CRV,(559) 264-4805
0,Allan Co,14618 Arrow Hwy ,Baldwin Park,91706,CRV,(626) 962-4047
0,Basic Fibres Inc,6019 S Manhattan Pl ,Los Angeles,90047,CRV,(323) 753-3491
0,Recology Dixon,302 N 1st St ,Dixon,95620,CRV,(707) 448-2945
0,Vacaville Sanitary Service Recycling Center,855 1/2 Davis St ,Vacaville,95687,CRV,(707) 448-2945
0,CR&R Inc,11262 Western Ave ,Stanton,90680,CRV,(714) 826-9049
0,Turlock Recycling,1020 S Walnut Rd ,Turlock,95380,CRV,(209) 668-6060
0,Laur Metals Co,9566 Garvey Ave ,South El Monte,91733,CRV,(322) 266-1654
0,Tzeng Long USA Inc,1160 E Slauson Ave ,Los Angeles,90011,CRV,(323) 231-9183
0,Oxnard Recycling,1111 E Channel Islands Blvd ,Oxnard,93033,CRV,(888) 339-3362
0,California Recycling Services,4220 Saviers Rd ,Oxnard,93033,CRV,(805) 987-2546
0,F & T Recycling,29424 Auberry Rd ,Prather,93651,CRV,(559) 299-8807
0,Cal Sierra Recycling,14959 Camage Ave ,Sonora,95370,CRV,(209) 533-0445
0,Joey Recycling Center,2101 White Ln ,Bakersfield,93304,CRV,(661) 834-9933
0,Allan Co,6733 Consolidated Way ,San Diego,92121,CRV,(858) 578-9300
0,Venus Recycling,2517 W 8th St ,Los Angeles,90057,CRV,(323) 606-2528
0,Good Earth Recycling Center Inc,2005 Bixby Rd ,Lakewood,90712,CRV,(562) 490-0072
0,Northstate Recycling,2041 Girvan Rd ,Redding,96001,CRV,(530) 243-4780
0,San Jose Metals Inc,1032 N 10th St ,San Jose,95112,CRV,(408) 293-4032
0,Waste Mgmt of Nevada County,14741 Wolf Mountain Rd ,Grass Valley,95945,CRV,(925) 250-6650
0,Coachella Valley Transfer Station,87 011A Landfill Rd ,Coachella,92236,CRV,(760) 863-4094
0,Pleasant Hill Recycling Center,1320 Galaxy Way ,Concord,94520,CRV,(925) 689-3900
0,AA Recycling,16040 Vanowen St ,Van Nuys,91406,CRV,(213) 605-1735
0,Amko Recycling LLC,340 W Valley Blvd ,Colton,92324,CRV,(909) 370-2656
0,Star Recycling,2623 W Pico Blvd ,Los Angeles,90006,CRV,(213) 380-7635
0,One Stop Recycling,810 B East St ,Hollister,95023,CRV,(831) 637-1321
0,Blue Line Transfer Inc,500 E Jamie Ct ,South San Francisco,94080,CRV,(650) 589-4020
0,Aras Recycling,4203 Tyler Ave ,El Monte,91731,CRV,(323) 228-0101
0,Allan Co,2540 S Main St ,Santa Ana,92707,CRV,(714) 641-8891
0,Temple Recycling Center Corp,3521 W Temple St ,Los Angeles,90004,CRV,(323) 664-2096
0,ABG Recycling,6631 Laurel Canyon Blvd ,North Hollywood,91606,CRV,(818) 605-0403
0,Penas Recycling Center,12094 Avenue 408 ,Cutler,93615,CRV,(559) 528-1661
0,Spring Valley Recycling,1069 Elkelton Blvd Ste B,Spring Valley,91977,CRV,(619) 461-0619
0,Main Street Fibers Inc,653 E Main St ,Ontario,91761,CRV,(909) 986-6310
0,Standard Industries,1905 Lirio Ave ,Ventura,93004,CRV,(805) 643-6669 ext.110
